# Initial data for the Jupyter, Io, Europa Ganymede and Spacecraft System
# 1:x 2:y 3:z 4:vx 5:vy 6:vz 7:mass
# SI Units: meters, m/s, kg

# Initial condition for Jupyter
-9.575324576133315e4 -6.150456912510757e4 -3.072242063097825e3 4.898609412767204e-1 -9.537003839258596e-1 -3.028640371889238e-2 1.89818e27

# Initial condition for io
-1.169290164457216e7  4.206724877968931e8  1.469934463084565e7 -1.735159563649886e4 -5.367255748605908e2 -2.666674111749237e2 4.79872e22

# Initial condition for Europe
3.904990291276731e8  -5.392340224863521e8  -9.037579559937003e6 1.116678537182261e4  8.174989252496797e3  5.127064307826501e2 4.79870e22

# Initial condition for Ganymede
8.626133793413050e8  -6.313676115858576e8  -1.178962605631183e4 6.431976727831559e3 8.781079262403239e3 4.266350959168634e2 1.48157e23

# Initial condition for Spacecraft test
# 8.726133793413050e8 -6.413676115858576e8 -1.178962605631183e4 6.431976727831559e3 0 0 1000.0

# Initial condition for Spacecraft test 2
# 8.726133793413050e8 -6.413676115858576e8 -1.178962605631183e4 0 0 6.431976727831559e3 1000.0

# Initial condition for Spacecraft test 3
#8.726133793413050e8 -6.413676115858576e8 -1.178962605631183e4 6.431976727831559e3 8.781079262403239e3 4.266350959168634e2 1000.0

# Initial condition for Spacecraft test 4
#8.726133793413050e8 -6.413676115858576e8 -1.178962605631183e4 0 0 0 1000.0

# Initial condition for Spacecraft test 5
# 8.626133793413050e8 -6.313676115858576e8 -1.178962605631183e4 6.55017e3 8.94247e3 4.3446e2 1000.0

# Initial condition for Spacecraft test 5
#8.326133793413050e8 -6.113676115858576e8 1.078962605631183e4 0 0 4.3446e2 1000.0

# Initial condition for Spacecraft test 6
#3.804990291276731e8  -5.292340224863521e8  -9.137579559937003e6 1.116678537182261e4  0 0 1000.0

# Initial condition for Spacecraft test 7
#4.304990291276731e8  -9.792340224863521e8  -8.837579559937003e6 1.116678537182261e4  0 0 1000.0

# Initial condition for Spacecraft test 8
#7.304990291276731e8  -15.792340224863521e8  -5.837579559937003e6 1.116678537182261e4  0 0 1000.0




