# Initial data from ER3BP Scan (GANYMEDE System)  (Staggered Grid)
# 1:x 2:y 3:z 4:vx 5:vy 6:vz 7:mass

# Jupiter
-9.5753245761333150e4 -6.1504569125107570e4 -3.0722420630978249e3 4.8986094127672042e-1 -9.5370038392585965e-1 -3.0286403718892380e-2 1.89818e27

# GANYMEDE
8.6261337934130502e8 -6.3136761158585763e8 -1.1789626056311830e4 6.4319767278315594e3 8.7810792624032383e3 4.2663509591686341e2 1.48157e23

# Initial condition for Io
#-1.169290164457216e7  4.206724877968931e8  1.469934463084565e7 -1.735159563649886e4 -5.367255748605908e2 -2.666674111749237e2 4.79872e22

# Initial condition for Europa
#3.9049902912767309e8 -5.3923402248635209e8 -9.0375795599370021e6 1.1166785371822611e4 8.1749892524967972e3 5.1270643078265005e2 4.79870e22

# SC_1: Stable_Y0.747_Vx-0.015 (Lower-Mid Y, Low Vx)
9.0235328008545268e8 3.2805749153325504e8 3.1260974919119790e7 -3.4789631946586233e3 9.2931785771267405e3 2.1348903232106591e2 1000.0

# SC_2: Stable_Y0.939_Vx-0.015 (Upper-Mid Y, Low Vx)
1.0236651985475929e9 4.9383575439775425e8 3.9312927482168294e7 -5.1691136577867255e3 1.0530951219759116e4 2.1353674803475903e2 1000.0

# SC_3: Stable_Y0.785_Vx-0.007 (Mid-Low Y, Neg Mid Vx)
9.2661566377788067e8 3.6121314410615492e8 3.2871365431729492e7 -3.7511028161381359e3 9.4925163252141247e3 2.1349790966287952e2 1000.0

# SC_4: Stable_Y0.985_Vx-0.007 (High Y, Neg Mid Vx)
1.0527800589785066e9 5.3362253748523414e8 4.1245396097299933e7 -5.5088592977913622e3 1.0779799873551794e4 2.1354753400512044e2 1000.0

# SC_5: Stable_Y0.731_Vx0.000 (Low Y, Zero Vx)
8.9264832660848141e8 3.1479523050409514e8 3.0616818714075912e7 -3.2119702153161579e3 9.0977232048379701e3 2.1348388346212047e2 1000.0

# SC_6: Stable_Y0.862_Vx0.000 (Mid Y, Zero Vx)
9.7514043116273677e+08 4.2752444925195473e+08 3.6092146456948891e+07 -4.3612725302432691e+03 9.9394086018279868e+03 2.1351633014743180e+02 1000.0

# SC_7: Stable_Y0.801_Vx0.007 (Mid-Low Y, Pos Mid Vx)
9.3632061725485194e+08 3.7447540513531494e+08 3.3515521636773374e+07 -3.7545339108961684e+03 9.4951045757465363e+03 2.1350039531812502e+02 1000.0

# SC_8: Stable_Y1.001_Vx0.007 (Very High Y, Pos Mid Vx)
1.0624850124554778e+09 5.4688479851439404e+08 4.1889552302343808e+07 -5.5122903925493947e+03 1.0782388124084206e+04 2.1355001966036590e+02 1000.0

# SC_9: Stable_Y0.762_Vx0.015 (Low-Mid Y, High Vx)
9.1205823356242383e+08 3.4131975256241494e+08 3.1905131124163672e+07 -3.3506133471244384e+03 9.1993332667809736e+03 2.1349018637446136e+02 1000.0

# SC_10: Stable_Y0.878_Vx0.015 (Mid-High Y, High Vx)
9.8484538463970804e+08 4.4078671028111452e+08 3.6736302661992773e+07 -4.3647036250013007e+03 9.9419968523603966e+03 2.1351881580267727e+02 1000.0
