# Initial data from ER3BP Integrated Stability Scan
# 1:x 2:y 3:z 4:vx 5:vy 6:vz 7:mass

# Jupiter
-9.5753245761333150e4 -6.1504569125107570e4 -3.0722420630978249e3 4.8986094127672042e-1 -9.5370038392585965e-1 -3.0286403718892380e-2 1.89818e27

# Europa
3.9049902912767309e8 -5.3923402248635209e8 -9.0375795599370021e6 1.1166785371822611e4 8.1749892524967972e3 5.1270643078265005e2 4.79870e22

# Initial condition for Io
-1.1692901644572160e7 4.2067248779689310e8 1.4699344630845650e7 -1.7351595636498860e4 -5.3672557486059080e2 -2.6666741117492370e2 4.79872e22

# Initial condition for Ganymede
8.6261337934130500e8 -6.3136761158585760e8 -1.1789626056311830e4 6.4319767278315590e3 8.7810792624032390e3 4.2663509591686340e2 1.48157e23

# SC_1: Stable_Y0.716_Vx-0.015
5.8117495196514571e8 9.6691696486581061e6 1.3095292748304470e7 -3.9937195897486811e2 1.2251781110410595e4 3.9164980615871423e2 1000.0

# SC_18: Stable_Y0.908_Vx-0.015
6.8483836519048142e8 8.4687171185633928e7 1.7826436298680443e7 -1.9736705216469127e3 1.4399647848050847e4 4.2723738006054640e2 1000.0

# SC_36: Stable_Y0.754_Vx-0.007
6.0190763461021280e8 2.4672769956053276e7 1.4041521458379664e7 -6.5354507026860153e2 1.2597583375806034e4 3.9736363208365304e2 1000.0

# SC_54: Stable_Y0.939_Vx-0.007
7.0142451130653524e8 9.6690051431550056e7 1.8583419266740598e7 -2.1648716904337643e3 1.4659535443940675e4 4.3152770302941195e2 1000.0

# SC_72: Stable_Y0.778_Vx0.000
6.1434724419725311e8 3.3674930140490390e7 1.4609258684424782e7 -7.8177429654857156e2 1.2771556302190258e4 4.0023045209644522e2 1000.0

# SC_90: Stable_Y0.978_Vx0.000
7.2215719395160234e8 1.1169365173894519e8 1.9529647976815797e7 -2.4190448017274980e3 1.5005337709336116e4 4.3724152895435071e2 1000.0

# SC_108: Stable_Y0.808_Vx0.007
6.3093339031330693e8 4.5677810386406511e7 1.5366241652484939e7 -9.7297546533542402e2 1.3031443898080088e4 4.0452077506531066e2 1000.0

# SC_126: Stable_Y1.001_Vx0.007
7.3459680353864264e8 1.2069581192338230e8 2.0097385202860910e7 -2.5472740280074681e3 1.5179310635720341e4 4.4010834896714294e2 1000.0

# SC_144: Stable_Y0.854_Vx0.015
6.5581260948738742e8 6.3682130755280696e7 1.6501716104575170e7 -1.2901205191360393e3 1.3463160832981139e4 4.1165810394632280e2 1000.0

# SC_162: Stable_Y1.016_Vx0.015
7.4288987659666955e8 1.2669725204634039e8 2.0475876686890990e7 -2.6125313117805563e3 1.5267368892598950e4 4.4155166602386174e2 1000.0
